2024-09-27 06:03:25 configure gnupg-utils:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:25 status half-configured gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:25 status installed gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:25 configure gpg-agent:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:25 status half-configured gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:25 status installed gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:25 configure gpgsm:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:25 status half-configured gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:25 status installed gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:25 configure dirmngr:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:25 status half-configured dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:25 status installed dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:25 configure gpg-wks-server:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:25 status half-configured gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:25 status installed gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:25 configure gpg-wks-client:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:25 status half-configured gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:25 status installed gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:25 configure gnupg:all 2.2.40-1.1 <none>
2024-09-27 06:03:25 status unpacked gnupg:all 2.2.40-1.1
2024-09-27 06:03:25 status half-configured gnupg:all 2.2.40-1.1
2024-09-27 06:03:25 status installed gnupg:all 2.2.40-1.1
2024-09-27 06:03:25 trigproc libc-bin:amd64 2.36-9+deb12u8 <none>
2024-09-27 06:03:25 status half-configured libc-bin:amd64 2.36-9+deb12u8
2024-09-27 06:03:25 status installed libc-bin:amd64 2.36-9+deb12u8
2024-09-27 06:03:25 trigproc ca-certificates:all 20230311 <none>
2024-09-27 06:03:25 status half-configured ca-certificates:all 20230311
2024-09-27 06:03:25 status installed ca-certificates:all 20230311
2024-09-27 06:03:28 startup packages remove
2024-09-27 06:03:28 status installed ca-certificates:all 20230311
2024-09-27 06:03:28 remove ca-certificates:all 20230311 <none>
2024-09-27 06:03:28 status half-configured ca-certificates:all 20230311
2024-09-27 06:03:28 status half-installed ca-certificates:all 20230311
2024-09-27 06:03:29 status config-files ca-certificates:all 20230311
2024-09-27 06:03:29 status installed gnupg:all 2.2.40-1.1
2024-09-27 06:03:29 remove gnupg:all 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gnupg:all 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gnupg:all 2.2.40-1.1
2024-09-27 06:03:29 status config-files gnupg:all 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gnupg:all <none>
2024-09-27 06:03:29 status installed gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:29 remove gpg-wks-client:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:29 status config-files gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gpg-wks-client:amd64 <none>
2024-09-27 06:03:29 status installed dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:29 remove dirmngr:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:29 status half-installed dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:29 status config-files dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:29 status installed gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:29 remove gnupg-l10n:all 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:29 status config-files gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gnupg-l10n:all <none>
2024-09-27 06:03:29 status installed gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:29 remove gnupg-utils:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:29 status config-files gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gnupg-utils:amd64 <none>
2024-09-27 06:03:29 status installed gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:29 remove gpg-wks-server:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:29 status config-files gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gpg-wks-server:amd64 <none>
2024-09-27 06:03:29 status installed gpg:amd64 2.2.40-1.1
2024-09-27 06:03:29 remove gpg:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gpg:amd64 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gpg:amd64 2.2.40-1.1
2024-09-27 06:03:29 status config-files gpg:amd64 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gpg:amd64 <none>
2024-09-27 06:03:29 status installed gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:29 remove gpg-agent:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:29 status config-files gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:29 status installed gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:29 remove gpgsm:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:29 status config-files gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gpgsm:amd64 <none>
2024-09-27 06:03:29 status installed gpgconf:amd64 2.2.40-1.1
2024-09-27 06:03:29 remove gpgconf:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status half-configured gpgconf:amd64 2.2.40-1.1
2024-09-27 06:03:29 status half-installed gpgconf:amd64 2.2.40-1.1
2024-09-27 06:03:29 status config-files gpgconf:amd64 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gpgconf:amd64 <none>
2024-09-27 06:03:29 status installed pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:29 remove pinentry-curses:amd64 1.2.1-1 <none>
2024-09-27 06:03:29 status half-configured pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:29 status half-installed pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:29 status config-files pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:29 status not-installed pinentry-curses:amd64 <none>
2024-09-27 06:03:29 status installed libassuan0:amd64 2.5.5-5
2024-09-27 06:03:29 remove libassuan0:amd64 2.5.5-5 <none>
2024-09-27 06:03:29 status triggers-pending libc-bin:amd64 2.36-9+deb12u8
2024-09-27 06:03:29 status half-configured libassuan0:amd64 2.5.5-5
2024-09-27 06:03:29 status half-installed libassuan0:amd64 2.5.5-5
2024-09-27 06:03:29 status config-files libassuan0:amd64 2.5.5-5
2024-09-27 06:03:29 status not-installed libassuan0:amd64 <none>
2024-09-27 06:03:29 status installed libksba8:amd64 1.6.3-2
2024-09-27 06:03:29 remove libksba8:amd64 1.6.3-2 <none>
2024-09-27 06:03:29 status half-configured libksba8:amd64 1.6.3-2
2024-09-27 06:03:29 status half-installed libksba8:amd64 1.6.3-2
2024-09-27 06:03:29 status config-files libksba8:amd64 1.6.3-2
2024-09-27 06:03:29 status not-installed libksba8:amd64 <none>
2024-09-27 06:03:29 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:29 remove libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2024-09-27 06:03:29 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:29 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:29 status config-files libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:29 status not-installed libldap-2.5-0:amd64 <none>
2024-09-27 06:03:29 status installed libncursesw6:amd64 6.4-4
2024-09-27 06:03:29 remove libncursesw6:amd64 6.4-4 <none>
2024-09-27 06:03:29 status half-configured libncursesw6:amd64 6.4-4
2024-09-27 06:03:29 status half-installed libncursesw6:amd64 6.4-4
2024-09-27 06:03:29 status config-files libncursesw6:amd64 6.4-4
2024-09-27 06:03:29 status not-installed libncursesw6:amd64 <none>
2024-09-27 06:03:29 status installed libnpth0:amd64 1.6-3
2024-09-27 06:03:29 remove libnpth0:amd64 1.6-3 <none>
2024-09-27 06:03:29 status half-configured libnpth0:amd64 1.6-3
2024-09-27 06:03:29 status half-installed libnpth0:amd64 1.6-3
2024-09-27 06:03:29 status config-files libnpth0:amd64 1.6-3
2024-09-27 06:03:29 status not-installed libnpth0:amd64 <none>
2024-09-27 06:03:29 status installed wget:amd64 1.21.3-1+b2
2024-09-27 06:03:29 remove wget:amd64 1.21.3-1+b2 <none>
2024-09-27 06:03:29 status half-configured wget:amd64 1.21.3-1+b2
2024-09-27 06:03:29 status half-installed wget:amd64 1.21.3-1+b2
2024-09-27 06:03:29 status config-files wget:amd64 1.21.3-1+b2
2024-09-27 06:03:29 status installed libpsl5:amd64 0.21.2-1
2024-09-27 06:03:29 remove libpsl5:amd64 0.21.2-1 <none>
2024-09-27 06:03:29 status half-configured libpsl5:amd64 0.21.2-1
2024-09-27 06:03:29 status half-installed libpsl5:amd64 0.21.2-1
2024-09-27 06:03:29 status config-files libpsl5:amd64 0.21.2-1
2024-09-27 06:03:29 status not-installed libpsl5:amd64 <none>
2024-09-27 06:03:29 status installed libreadline8:amd64 8.2-1.3
2024-09-27 06:03:29 remove libreadline8:amd64 8.2-1.3 <none>
2024-09-27 06:03:29 status half-configured libreadline8:amd64 8.2-1.3
2024-09-27 06:03:29 status half-installed libreadline8:amd64 8.2-1.3
2024-09-27 06:03:29 status config-files libreadline8:amd64 8.2-1.3
2024-09-27 06:03:29 status not-installed libreadline8:amd64 <none>
2024-09-27 06:03:29 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-27 06:03:29 remove libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2024-09-27 06:03:29 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-27 06:03:29 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-27 06:03:29 status config-files libsasl2-2:amd64 2.1.28+dfsg-10
2024-09-27 06:03:29 status not-installed libsasl2-2:amd64 <none>
2024-09-27 06:03:29 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-27 06:03:29 remove libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2024-09-27 06:03:29 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-27 06:03:29 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-27 06:03:29 status config-files libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-09-27 06:03:29 status not-installed libsasl2-modules-db:amd64 <none>
2024-09-27 06:03:29 status installed libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:29 remove libsqlite3-0:amd64 3.40.1-2 <none>
2024-09-27 06:03:29 status half-configured libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:29 status half-installed libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:29 status config-files libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:29 status not-installed libsqlite3-0:amd64 <none>
2024-09-27 06:03:29 status installed openssl:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 remove openssl:amd64 3.0.14-1~deb12u2 <none>
2024-09-27 06:03:29 status half-configured openssl:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 status half-installed openssl:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 status config-files openssl:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 status installed libssl3:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 remove libssl3:amd64 3.0.14-1~deb12u2 <none>
2024-09-27 06:03:29 status half-configured libssl3:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 status half-installed libssl3:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 status config-files libssl3:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 status not-installed libssl3:amd64 <none>
2024-09-27 06:03:29 status installed readline-common:all 8.2-1.3
2024-09-27 06:03:29 remove readline-common:all 8.2-1.3 <none>
2024-09-27 06:03:29 status half-configured readline-common:all 8.2-1.3
2024-09-27 06:03:29 status half-installed readline-common:all 8.2-1.3
2024-09-27 06:03:29 status config-files readline-common:all 8.2-1.3
2024-09-27 06:03:29 startup packages configure
2024-09-27 06:03:29 trigproc libc-bin:amd64 2.36-9+deb12u8 <none>
2024-09-27 06:03:29 status half-configured libc-bin:amd64 2.36-9+deb12u8
2024-09-27 06:03:29 status installed libc-bin:amd64 2.36-9+deb12u8
2024-09-27 06:03:29 startup packages purge
2024-09-27 06:03:29 purge gpg-agent:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status config-files gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:29 status not-installed gpg-agent:amd64 <none>
2024-09-27 06:03:29 purge wget:amd64 1.21.3-1+b2 <none>
2024-09-27 06:03:29 status config-files wget:amd64 1.21.3-1+b2
2024-09-27 06:03:29 status not-installed wget:amd64 <none>
2024-09-27 06:03:29 purge dirmngr:amd64 2.2.40-1.1 <none>
2024-09-27 06:03:29 status config-files dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:29 status not-installed dirmngr:amd64 <none>
2024-09-27 06:03:29 purge ca-certificates:all 20230311 <none>
2024-09-27 06:03:29 status config-files ca-certificates:all 20230311
2024-09-27 06:03:29 status not-installed ca-certificates:all <none>
2024-09-27 06:03:29 purge openssl:amd64 3.0.14-1~deb12u2 <none>
2024-09-27 06:03:29 status config-files openssl:amd64 3.0.14-1~deb12u2
2024-09-27 06:03:29 status not-installed openssl:amd64 <none>
2024-09-27 06:03:29 purge readline-common:all 8.2-1.3 <none>
2024-09-27 06:03:29 status config-files readline-common:all 8.2-1.3
2024-09-27 06:03:29 status not-installed readline-common:all <none>
2024-09-27 06:03:29 startup packages configure
2024-09-27 06:03:32 startup archives unpack
2024-09-27 06:03:32 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-09-27 06:03:32 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-09-27 06:03:32 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-09-27 06:03:32 install libgdbm6:amd64 <none> 1.23-3
2024-09-27 06:03:32 status triggers-pending libc-bin:amd64 2.36-9+deb12u8
2024-09-27 06:03:32 status half-installed libgdbm6:amd64 1.23-3
2024-09-27 06:03:32 status unpacked libgdbm6:amd64 1.23-3
2024-09-27 06:03:32 install libgdbm-compat4:amd64 <none> 1.23-3
